"Paint Category","Part Number",Unit,Qty,Gallons,"VOC Total"
,PPG.T468,"1.00 PINT",48.00,6.00,4.92
,PPG.T471,"2.00 2LITER",23.00,12.15,10.21
,PPG.T472,"2.00 2LITER",19.00,10.04,8.83
,PPG.T472,"1.00 LITER",94.00,24.83,21.85
,PPG.T473,"2.00 2LITER",92.00,48.61,43.74
,PPG.T474,"1.00 LITER",34.00,8.98,7.81
,PPG.T475,"2.00 2LITER",64.00,33.81,30.09
,PPG.T476,"2.00 2LITER",52.00,27.47,23.62
,PPG.T477,"1.00 LITER",3.00,0.79,0.68
,PPG.T479,"1.00 LITER",52.00,13.74,10.30
,PPG.T489,"1.00 PINT",7.00,0.88,0.82
,PPG.T490,"2.00 2LITER",65.00,34.34,31.25
,PPG.T490,"1.00 LITER",8.00,2.11,1.92
,PPG.T491,"1.00 LITER",51.00,13.47,8.22
,PPG.T492,"2.00 2LITER",1.00,0.53,0.16
,PPG.T494,"1.00 GALLON",145.00,145.00,24.65
,PPG.T581,"1.00 PINT",15.00,1.88,5.63
,PPG.T588,"1.00 QUART",1.00,0.25,0.67
,SEM.39803,"1.00 AERO",30.00,2.81,16.64
,SEM.40903,"1.00 EACH",53.00,53.00,35.74
"Topcoats(Max allowed: 2,880.0)",,,,"6,702.34","28,200.95"
,,,,,
"Grand Total",,,,"12,857.22","50,999.69"
